400DN00203NE, 400CN0210DSR,    2,    2, 400DN0020DNE,  3333,        M,   2,
400DN00203NS, 400CN0020GNS,    2,    2, 400DN0020DNS,  3047,        M,   2,
400DN00203SC, 400CN0190DSR,    14,    2, 400DN0020DSC,  3325,        M,   14,
400DN00203SE, 400CN0210DSR,    14,    2, 400DN0020DSE,  3339,        M,   14,
400DN00203SS, 400CN0020GNS,    14,    2, 400DN0020DSS,  3059,        M,   14,
400DN00204NC, 400CN0220DNR,    20,    2, 400DN0020DNC,  3330,        M,   20,
400DN00204NE, 400CN0210DSR,    8,    2, 400DN0020DNE,  3334,        M,   8,
400DN00204NS, 400CN0020GNS,    8,    2, 400DN0020DNS,  3048,        M,   8,
400DN00204SC, 400CN0190DSR,    20,    2, 400DN0020DSC,  3326,        M,   20,
400DN00204SE, 400CN0210DSR,    20,    2, 400DN0020DSE,  3340,        M,   20,
400DN00204SS, 400CN0020GNS,    20,    2, 400DN0020DSS,  3060,        M,   20,
400DN00205NE, 400CN0210DSR,    3,    3, 400DN0020DNE,  3335,        M,   3,
400DN00205NS, 400CN0020GNS,    3,    3, 400DN0020DNS,  3049,        M,   3,
400DN00205SE, 400CN0210DSR,    15,    3, 400DN0020DSE,  3341,        M,   15,
400DN00205SS, 400CN0020GNS,    15,    3, 400DN0020DSS,  3061,        M,   15,
400DN00206NE, 400CN0210DSR,    9,    3, 400DN0020DNE,  3336,        M,   9,
400DN00206NS, 400CN0020GNS,    9,    3, 400DN0020DNS,  3050,        M,   9,
400DN00206SE, 400CN0210DSR,    21,    3, 400DN0020DSE,  3342,        M,   21,
400DN00206SS, 400CN0020GNS,    21,    3, 400DN0020DSS,  3062,        M,   21,
400DN00207NS, 400CN0020GNS,    4,    4, 400DN0020DNS,  3051,        M,   4,
400DN00207SS, 400CN0020GNS,    16,    4, 400DN0020DSS,  3063,        M,   16,
400DN00208NS, 400CN0020GNS,    10,    4, 400DN0020DNS,  3052,        M,   10,
400DN00208SS, 400CN0020GNS,    22,    4, 400DN0020DSS,  3064,        M,   22,
400DN00209NS, 400CN0020GNS,    5,    5, 400DN0020DNS,  3053,        M,   5,
400DN00209SS, 400CN0020GNS,    17,    5, 400DN0020DSS,  3065,        M,   17,
400DN0020ANS, 400CN0020GNS,    6,    6, 400DN0020DNS,  3055,        M,   6,
400DN0020ASS, 400CN0020GNS,    18,    6, 400DN0020DSS,  3067,        M,   18,
400DN0020BNS, 400CN0020GNS,    12,    6, 400DN0020DNS,  3056,        M,   12,
400DN0020BSS, 400CN0020GNS,    24,    6, 400DN0020DSS,  3068,        M,   24,
400DN00300NE, 400CN0260DNC,    11,    5, 400DN0030DNE,  3362,        M,   11,
400DN00300NS, 400CN0030DSS,    11,    5, 400DN0030DNS,  3078,        M,   11,
400DN00300SE, 400CN0260DNC,    23,    5, 400DN0030DSE,  3374,        M,   23,
400DN00300SS, 400CN0030DSS,    23,    5, 400DN0030DSS,  3090,        M,   23,
400DN00301NC, 400CN0240DNR,    13,    1, 400DN0030DNC,  3343,        M,   13,
400DN00301NE, 400CN0260DNC,    1,    1, 400DN0030DNE,  3353,        M,   1,
400DN00301NR, 400CN0090DNS,    25,    1, 400DN0030DNR,  3893,        M,   25,
400DN00301NS, 400CN0030DSS,    1,    1, 400DN0030DNS,  3069,        M,   1,
400DN00301SC, 400CN0250DWR,    13,    1, 400DN0030DSC,  3349,        M,   13,
400DN00301SE, 400CN0260DNC,    13,    1, 400DN0030DSE,  3365,        M,   13,
400DN00301SS, 400CN0030DSS,    13,    1, 400DN0030DSS,  3081,        M,   13,
400DN00301WR, 400CN0067DSR,    25,    1, 400DN0030DWR,  3890,        M,   25,
400DN00302NC, 400CN0240DNR,    19,    1, 400DN0030DNC,  3344,        M,   19,
400DN00302NE, 400CN0260DNC,    7,    1, 400DN0030DNE,  3354,        M,   7,
400DN00302NS, 400CN0030DSS,    7,    1, 400DN0030DNS,  3070,        M,   7,
400DN00302SC, 400CN0250DWR,    19,    1, 400DN0030DSC,  3350,        M,   19,
400DN00302SE, 400CN0260DNC,    19,    1, 400DN0030DSE,  3366,        M,   19,
400DN00302SS, 400CN0030DSS,    19,    1, 400DN0030DSS,  3082,        M,   19,
400DN00303NC, 400CN0240DNR,    14,    2, 400DN0030DNC,  3345,        M,   14,
400DN00303NE, 400CN0260DNC,    2,    2, 400DN0030DNE,  3355,        M,   2,
400DN00303NS, 400CN0030DSS,    2,    2, 400DN0030DNS,  3071,        M,   2,
400DN00303SC, 400CN0250DWR,    14,    2, 400DN0030DSC,  3351,        M,   14,
400DN00303SE, 400CN0260DNC,    14,    2, 400DN0030DSE,  3367,        M,   14,
400DN00303SS, 400CN0030DSS,    14,    2, 400DN0030DSS,  3083,        M,   14,
400DN00303WR, 400CN0067DSR,    26,    2, 400DN0030DWR,  3891,        M,   26,
400DN00304NC, 400CN0240DNR,    20,    2, 400DN0030DNC,  3346,        M,   20,
400DN00304NE, 400CN0260DNC,    8,    2, 400DN0030DNE,  3356,        M,   8,
400DN00304NS, 400CN0030DSS,    8,    2, 400DN0030DNS,  3072,        M,   8,
400DN00304SC, 400CN0250DWR,    20,    2, 400DN0030DSC,  3352,        M,   20,
400DN00304SE, 400CN0260DNC,    20,    2, 400DN0030DSE,  3368,        M,   20,
400DN00304SS, 400CN0030DSS,    20,    2, 400DN0030DSS,  3084,        M,   20,
400DN00305NC, 400CN0240DNR,    15,    3, 400DN0030DNC,  3347,        M,   15,
400DN00305NE, 400CN0260DNC,    3,    3, 400DN0030DNE,  3357,        M,   3,
400DN00305NS, 400CN0030DSS,    3,    3, 400DN0030DNS,  3073,        M,   3,
400DN00305SE, 400CN0260DNC,    15,    3, 400DN0030DSE,  3369,        M,   15,
400DN00305SS, 400CN0030DSS,    15,    3, 400DN0030DSS,  3085,        M,   15,
400DN00306NC, 400CN0240DNR,    21,    3, 400DN0030DNC,  3348,        M,   21,
400DN00306NE, 400CN0260DNC,    9,    3, 400DN0030DNE,  3358,        M,   9,
400DN00306NS, 400CN0030DSS,    9,    3, 400DN0030DNS,  3074,        M,   9,
400DN00306SE, 400CN0260DNC,    21,    3, 400DN0030DSE,  3370,        M,   21,
400DN00306SS, 400CN0030DSS,    21,    3, 400DN0030DSS,  3086,        M,   21,
400DN00307NE, 400CN0260DNC,    4,    4, 400DN0030DNE,  3359,        M,   4,
400DN00307NS, 400CN0030DSS,    4,    4, 400DN0030DNS,  3075,        M,   4,
400DN00307SE, 400CN0260DNC,    16,    4, 400DN0030DSE,  3371,        M,   16,
400DN00307SS, 400CN0030DSS,    16,    4, 400DN0030DSS,  3087,        M,   16,
400DN00308NE, 400CN0260DNC,    10,    4, 400DN0030DNE,  3360,        M,   10,
400DN00308NS, 400CN0030DSS,    10,    4, 400DN0030DNS,  3076,        M,   10,
400DN00308SE, 400CN0260DNC,    22,    4, 400DN0030DSE,  3372,        M,   22,
400DN00308SS, 400CN0030DSS,    22,    4, 400DN0030DSS,  3088,        M,   22,
400DN00309NE, 400CN0260DNC,    5,    5, 400DN0030DNE,  3361,        M,   5,
400DN00309NS, 400CN0030DSS,    5,    5, 400DN0030DNS,  3077,        M,   5,
400DN00309SE, 400CN0260DNC,    17,    5, 400DN0030DSE,  3373,        M,   17,
