QEWDS06201WS, QEWCS0510DES,    13,    1, QEWDS0620DWS,  6597,        M,   13,
QEWDS06202ES, QEWCS0510DES,    7,    1, QEWDS0620DES,  6592,        M,   7,
QEWDS06202WS, QEWCS0510DES,    19,    1, QEWDS0620DWS,  6598,        M,   19,
QEWDS06203ES, QEWCS0510DES,    2,    2, QEWDS0620DES,  6593,        M,   2,
QEWDS06203WS, QEWCS0510DES,    14,    2, QEWDS0620DWS,  6599,        M,   14,
QEWDS06204ES, QEWCS0510DES,    8,    2, QEWDS0620DES,  6594,        M,   8,
QEWDS06204WS, QEWCS0510DES,    20,    2, QEWDS0620DWS,  6600,        M,   20,
QEWDS06205ES, QEWCS0510DES,    3,    3, QEWDS0620DES,  6595,        M,   3,
QEWDS06205WS, QEWCS0510DES,    15,    3, QEWDS0620DWS,  6601,        M,   15,
QEWDS06206ES, QEWCS0510DES,    9,    3, QEWDS0620DES,  6596,        M,   9,
QEWDS06206WS, QEWCS0510DES,    21,    3, QEWDS0620DWS,  6602,        M,   21,
QEWDS06301ES, QEWCS0520GES,    1,    1, QEWDS0630DES,  6603,        M,   1,
QEWDS06301WS, QEWCS0520GES,    13,    1, QEWDS0630DWS,  6615,        M,   13,
QEWDS06302ES, QEWCS0520GES,    7,    1, QEWDS0630DES,  6604,        M,   7,
QEWDS06302WS, QEWCS0520GES,    19,    1, QEWDS0630DWS,  6616,        M,   19,
QEWDS06303ES, QEWCS0520GES,    2,    2, QEWDS0630DES,  6605,        M,   2,
QEWDS06303WS, QEWCS0520GES,    14,    2, QEWDS0630DWS,  6617,        M,   14,
QEWDS06304ES, QEWCS0520GES,    8,    2, QEWDS0630DES,  6606,        M,   8,
QEWDS06304WS, QEWCS0520GES,    20,    2, QEWDS0630DWS,  6618,        M,   20,
QEWDS06305ES, QEWCS0520GES,    3,    3, QEWDS0630DES,  6607,        M,   3,
QEWDS06305WS, QEWCS0520GES,    15,    3, QEWDS0630DWS,  6619,        M,   15,
QEWDS06306ES, QEWCS0520GES,    9,    3, QEWDS0630DES,  6608,        M,   9,
QEWDS06306WS, QEWCS0520GES,    21,    3, QEWDS0630DWS,  6620,        M,   21,
QEWDS06401ES, QEWCS0520GES,    4,    1, QEWDS0640DES,  6609,        M,   4,
QEWDS06401WS, QEWCS0520GES,    16,    1, QEWDS0640DWS,  6621,        M,   16,
QEWDS06402ES, QEWCS0520GES,    10,    1, QEWDS0640DES,  6610,        M,   10,
QEWDS06402WS, QEWCS0520GES,    22,    1, QEWDS0640DWS,  6622,        M,   22,
QEWDS06403ES, QEWCS0520GES,    5,    2, QEWDS0640DES,  6611,        M,   5,
QEWDS06403WS, QEWCS0520GES,    17,    2, QEWDS0640DWS,  6623,        M,   17,
QEWDS06404ES, QEWCS0520GES,    11,    2, QEWDS0640DES,  6612,        M,   11,
QEWDS06404WS, QEWCS0520GES,    23,    2, QEWDS0640DWS,  6624,        M,   23,
QEWDS06405ES, QEWCS0520GES,    6,    3, QEWDS0640DES,  6613,        M,   6,
QEWDS06405WS, QEWCS0520GES,    18,    3, QEWDS0640DWS,  6625,        M,   18,
QEWDS06406ES, QEWCS0520GES,    12,    3, QEWDS0640DES,  6614,        M,   12,
QEWDS06406WS, QEWCS0520GES,    24,    3, QEWDS0640DWS,  6626,        M,   24,
QEWDS06501ES, QEWCS0530KES,    1,    1, QEWDS0650DES,  6631,        M,   1,
QEWDS06501WS, QEWCS0530KES,    13,    1, QEWDS0650DWS,  6637,        M,   13,
QEWDS06502ES, QEWCS0530KES,    7,    1, QEWDS0650DES,  6632,        M,   7,
QEWDS06502WS, QEWCS0530KES,    19,    1, QEWDS0650DWS,  6638,        M,   19,
QEWDS06503ES, QEWCS0530KES,    2,    2, QEWDS0650DES,  6633,        M,   2,
QEWDS06503WS, QEWCS0530KES,    14,    2, QEWDS0650DWS,  6639,        M,   14,
QEWDS06504ES, QEWCS0530KES,    8,    2, QEWDS0650DES,  6634,        M,   8,
QEWDS06504WS, QEWCS0530KES,    20,    2, QEWDS0650DWS,  6640,        M,   20,
QEWDS06505ES, QEWCS0530KES,    3,    3, QEWDS0650DES,  6635,        M,   3,
QEWDS06505WS, QEWCS0530KES,    15,    3, QEWDS0650DWS,  6641,        M,   15,
QEWDS06506ES, QEWCS0530KES,    9,    3, QEWDS0650DES,  6636,        M,   9,
QEWDS06506WS, QEWCS0530KES,    21,    3, QEWDS0650DWS,  6642,        M,   21,
QEWDS06601ES, QEWCS0540EES,    1,    1, QEWDS0660DES,  6645,        M,   1,
QEWDS06601WS, QEWCS0540EES,    13,    1, QEWDS0660DWS,  6651,        M,   13,
QEWDS06602ES, QEWCS0540EES,    7,    1, QEWDS0660DES,  6646,        M,   7,
QEWDS06602WS, QEWCS0540EES,    19,    1, QEWDS0660DWS,  6652,        M,   19,
QEWDS06603ES, QEWCS0540EES,    2,    2, QEWDS0660DES,  6647,        M,   2,
QEWDS06603WS, QEWCS0540EES,    14,    2, QEWDS0660DWS,  6653,        M,   14,
QEWDS06604ES, QEWCS0540EES,    8,    2, QEWDS0660DES,  6648,        M,   8,
QEWDS06604WS, QEWCS0540EES,    20,    2, QEWDS0660DWS,  6654,        M,   20,
QEWDS06605ES, QEWCS0540EES,    3,    3, QEWDS0660DES,  6649,        M,   3,
QEWDS06605WS, QEWCS0540EES,    15,    3, QEWDS0660DWS,  6655,        M,   15,
QEWDS06606ES, QEWCS0540EES,    9,    3, QEWDS0660DES,  6650,        M,   9,
QEWDS06606WS, QEWCS0540EES,    21,    3, QEWDS0660DWS,  6656,        M,   21,
QEWDS06801ES, QEWCS0560EES,    1,    1, QEWDS0680DES,  6658,        M,   1,
QEWDS06801WS, QEWCS0560EES,    13,    1, QEWDS0680DWS,  6664,        M,   13,
QEWDS06802ES, QEWCS0560EES,    7,    1, QEWDS0680DES,  6659,        M,   7,
QEWDS06802WS, QEWCS0560EES,    19,    1, QEWDS0680DWS,  6665,        M,   19,
QEWDS06803ES, QEWCS0560EES,    2,    2, QEWDS0680DES,  6660,        M,   2,
QEWDS06803WS, QEWCS0560EES,    14,    2, QEWDS0680DWS,  6666,        M,   14,
QEWDS06804ES, QEWCS0560EES,    8,    2, QEWDS0680DES,  6661,        M,   8,
QEWDS06804WS, QEWCS0560EES,    20,    2, QEWDS0680DWS,  6667,        M,   20,
QEWDS06805ES, QEWCS0560EES,    3,    3, QEWDS0680DES,  6662,        M,   3,
QEWDS06805WS, QEWCS0560EES,    15,    3, QEWDS0680DWS,  6668,        M,   15,
QEWDS06806ES, QEWCS0560EES,    9,    3, QEWDS0680DES,  6663,        M,   9,
QEWDS06806WS, QEWCS0560EES,    21,    3, QEWDS0680DWS,  6669,        M,   21,
